event_window,event_name,event_link,event_location
Jan 29 - Feb 10,Lexus Pipe Pro,https://www.worldsurfleague.com/events/2024/ct/196/lexus-pipe-pro/results,"Banzai Pipeline, Oahu, Hawaii"
Feb 12 - 22,Hurley Pro Sunset Beach,https://www.worldsurfleague.com/events/2024/ct/197/hurley-pro-sunset-beach/results,"Sunset Beach, Oahu,  Hawaii"
Mar 6 - 16,MEO Rip Curl Pro Portugal,https://www.worldsurfleague.com/events/2024/ct/198/meo-rip-curl-pro-portugal/results,"Supertubos, Peniche, Portugal"
Mar 26 - Apr 5,Rip Curl Pro Bells Beach,https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results,"Bells Beach, Victoria, Australia"
Apr 11 - 21,Western Australia Margaret River Pro,https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results,"Margaret River, Western Australia, Australia"
May 22 - 31,SHISEIDO Tahiti Pro,https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results,"Teahupoʻo, Tahiti, French Polynesia"
Jun 6 - 15,Surf City El Salvador Pro,https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results,"Punta Roca, La Libertad, El Salvador"
Jun 22 - 30,VIVO Rio Pro,https://www.worldsurfleague.com/events/2024/ct/203/vivo-rio-pro/results,"Saquarema, Rio de Janeiro, Brazil"
Aug 20 - 29,Corona Fiji Pro,https://www.worldsurfleague.com/events/2024/ct/204/corona-fiji-pro/results,"Cloudbreak, Tavarua, Fiji"
Sep 6 - 14,WSL Finals,https://www.worldsurfleague.com/events/2024/ct/205/wsl-finals/results,"Lower Trestles, San Clemente, California, United States"
